30.9936	0.97790	3.38003
32.9821	0.97580	3.37982
35.3019	0.97350	3.37956
37.2903	0.97140	3.37935
38.9473	0.96930	3.37917
40.6043	0.96760	3.37899
42.5928	0.96550	3.37877
43.9184	0.96360	3.37863
45.5754	0.96180	3.37845
46.5696	0.96040	3.37834
47.5638	0.95940	3.37823
49.2208	0.95820	3.37805
50.8778	0.95710	3.37787
52.2035	0.95660	3.37773
53.8605	0.95590	3.37755
55.1861	0.95570	3.37740
56.5117	0.95540	3.37726
57.8373	0.95520	3.37711
59.1629	0.95500	3.37697
60.4886	0.95500	3.37683
61.8142	0.95500	3.37668
62.8084	0.95500	3.37657
63.8026	0.95500	3.37647
64.1340	0.95400	3.37643
64.1340	0.95240	3.37643
64.1340	0.95170	3.37643
64.1340	0.95120	3.37643
64.1340	0.95070	3.37643
64.1340	0.95020	3.37643
64.1340	0.94890	3.37643
64.1340	0.94810	3.37643
64.1340	0.94750	3.37643
64.1340	0.94720	3.37643
67.1166	0.94630	3.37611
69.1050	0.94580	3.37589
71.4249	0.94530	3.37564
73.7447	0.94510	3.37539
76.7273	0.94460	3.37506
78.7158	0.94440	3.37485
81.0356	0.94420	3.37459
83.3554	0.94420	3.37434
85.3438	0.94420	3.37412
88.3265	0.94420	3.37380
90.9777	0.94460	3.37351
93.2975	0.94470	3.37326
95.6173	0.94490	3.37301
97.6058	0.94510	3.37279
99.2628	0.94540	3.37261
101.2512	0.94560	3.37240
103.5710	0.94610	3.37214
105.8908	0.94650	3.37189
108.8735	0.94680	3.37157
113.5131	0.94770	3.37106
118.1528	0.94910	3.37056
122.1296	0.95020	3.37013
125.7751	0.95140	3.36973
129.7519	0.95260	3.36930
134.0602	0.95380	3.36883
138.0370	0.95560	3.36840
142.6766	0.95750	3.36789
148.9733	0.95970	3.36721
154.6072	0.96180	3.36660
161.8981	0.96460	3.36580
167.2005	0.96710	3.36523
172.1716	0.96930	3.36469
178.1368	0.97180	3.36404
184.1021	0.97440	3.36339
189.0731	0.97670	3.36285
192.3872	0.97820	3.36249
196.0326	0.98000	3.36210
198.6839	0.98140	3.36181
200.6723	0.98220	3.36159
