27.3023	4.62852	3.38043
30.3256	4.61824	3.38010
33.3488	4.60805	3.37978
36.3721	4.59775	3.37945
39.3953	4.58808	3.37912
42.3881	4.57845	3.37879
45.3731	4.56905	3.37847
48.3582	4.55984	3.37814
51.3433	4.58878	3.37782
54.3284	4.57982	3.37750
57.3134	4.57107	3.37717
60.3030	4.56262	3.37685
63.3333	4.55434	3.37652
66.3636	4.54640	3.37619
69.3939	4.53880	3.37586
72.4242	4.53155	3.37553
75.4545	4.52465	3.37520
78.4848	4.51811	3.37487
81.4957	4.43733	3.37454
84.4872	4.43170	3.37422
87.4786	4.42643	3.37389
90.4701	4.42149	3.37357
93.4615	4.41688	3.37324
96.4530	4.41261	3.37292
99.4444	4.40868	3.37259
102.4360	4.40503	3.37227
105.4270	4.40169	3.37194
108.4190	4.39866	3.37162
111.4100	4.39594	3.37129
114.4020	4.39351	3.37097
117.4140	4.39133	3.37064
120.4310	4.38944	3.37031
123.4480	4.38781	3.36998
126.4660	4.38645	3.36966
129.4830	4.38534	3.36933
132.5000	4.38449	3.36900
135.5170	4.38387	3.36867
138.5340	4.38347	3.36834
141.5520	4.38329	3.36802
144.5690	4.38332	3.36769
147.5860	4.38353	3.36736
150.6030	4.38395	3.36703
153.6210	4.38454	3.36670
156.6380	4.38528	3.36638
159.6550	4.38620	3.36605
162.6720	4.38764	3.36572
165.6900	4.38928	3.36539
168.7070	4.39103	3.36506
171.7240	4.39292	3.36474
174.7410	4.39494	3.36441
177.7590	4.39706	3.36408
180.7760	4.39928	3.36375
183.7930	4.40161	3.36343
186.7950	4.40403	3.36310
189.7860	4.40654	3.36277
192.7780	4.40913	3.36245
195.7690	4.41181	3.36212
198.7610	4.41455	3.36180
201.7520	4.41843	3.36147
204.7440	4.42315	3.36115
